"NumberOfVehicles","AccidentDate","Time","FirstRoadClass","RoadSurface","LightingConditions","Daylight.Dark","WeatherConditions","TypeOfVehicle","CasualtyClass","CasualtySeverity","SexOfCasualty","AgeOfCasualty"
2,"01/01/2017",2120,"U","Wet/Damp",4,"Dark","Raining without high winds",9,2,2,2,16
2,"04/01/2017",1500,"U","Dry",1,"Daylight","Fine without high winds",9,3,2,2,67
2,"05/01/2017",732,"A58","Wet/Damp",4,"Dark","Fine without high winds",9,1,3,1,56
2,"05/01/2017",930,"A646","Wet/Damp",1,"Daylight","Fine without high winds",4,1,1,1,20
2,"14/01/2017",909,"U","Frost/Ice",1,"Daylight","Fine without high winds",9,1,3,1,46
1,"16/01/2017",1059,"A646","Wet/Damp",1,"Daylight","Fine without high winds",9,3,3,2,25
3,"19/01/2017",1849,"B6138","Dry",4,"Dark","Fine without high winds",9,1,3,2,50
1,"20/01/2017",1408,"U","Dry",1,"Daylight","Fine without high winds",9,3,3,2,64
1,"22/01/2017",1325,"A58","Wet/Damp",1,"Daylight","Fine without high winds",9,1,3,2,22
2,"24/01/2017",1126,"A629","Wet/Damp",1,"Daylight","Raining without high winds",9,2,3,2,21
2,"24/01/2017",1830,"A641","Dry",4,"Dark","Fine without high winds",9,1,3,1,29
2,"25/01/2017",1258,"U","Dry",1,"Daylight","Fine without high winds",9,1,3,1,24
3,"26/01/2017",1133,"A672","Wet/Damp",1,"Daylight","Fine without high winds",19,1,3,1,29
1,"26/01/2017",1546,"A6033","Dry",1,"Daylight","Fine without high winds",9,3,3,1,5
1,"27/01/2017",1335,"U","Ice",1,"Daylight","Fine without high winds",19,3,3,2,14
2,"27/01/2017",1405,"U","Dry",1,"Daylight","Fine without high winds",9,1,3,2,33
2,"27/01/2017",2233,"U","Wet/Damp",4,"Dark","Raining without high winds",9,1,3,1,28
1,"29/01/2017",1430,"U","Wet/Damp",1,"Daylight","Raining with high winds",9,3,3,2,27
2,"29/01/2017",2230,"U","Wet/Damp",4,"Dark","Fog or mist - if hazard",9,1,3,2,60
1,"30/01/2017",1444,"U","Dry",1,"Daylight","Fine without high winds",8,3,3,1,50
2,"31/01/2017",1435,"A58","Wet/Damp",1,"Daylight","Raining without high winds",9,1,3,2,40
2,"01/02/2017",1400,"A6139","Wet/Damp",1,"Daylight","Fine without high winds",9,1,3,2,48
2,"02/02/2017",1045,"U","Wet/Damp",1,"Daylight","Fine without high winds",9,1,3,2,76
2,"02/02/2017",2200,"A58","Dry",4,"Dark","Fine without high winds",9,1,3,1,22
1,"03/02/2017",1806,"A646","Dry",4,"Dark","Fine without high winds",9,3,3,2,14
3,"04/02/2017",612,"A6033","Wet/Damp",4,"Dark","Fine without high winds",9,1,2,1,26
2,"04/02/2017",1310,"A644","Dry",1,"Daylight","Fine without high winds",19,1,3,2,65
2,"05/02/2017",1227,"A62","Dry",1,"Daylight","Fine without high winds",9,1,3,1,51
1,"07/02/2017",921,"U","Dry",1,"Daylight","Fine without high winds",9,1,3,1,67
2,"07/02/2017",1423,"B6114","Dry",1,"Daylight","Fine without high winds",9,1,3,1,28
2,"07/02/2017",1546,"A6319","Dry",1,"Daylight","Fine without high winds",9,1,3,1,34
1,"06/02/2017",1900,"U","Wet/Damp",4,"Dark","Fine without high winds",9,3,3,2,14
1,"08/02/2017",833,"U","Dry",1,"Daylight","Fine without high winds",9,3,3,2,13
1,"08/02/2017",1430,"A629","Wet/Damp",1,"Daylight","Fine without high winds",9,3,2,2,76
1,"08/02/2017",1730,"U","Dry",7,"Dark","Fine without high winds",3,3,3,2,45
